,id,open,close,low,high,amount,vol,count
135,2018-03-26 00:00:00,17.87,15.99,15.81,18.2,137899.8982674645,2341167.725575938,16195.0
136,2018-03-25 00:00:00,18.29,17.9,17.51,19.48,154453.8409878083,2817443.957501271,17544.0
137,2018-03-24 00:00:00,18.41,18.31,17.79,18.67,128423.57409853443,2351697.2083039456,15887.0
138,2018-03-23 00:00:00,18.24,18.4,17.57,19.66,164971.2805928564,3041460.2669027573,18555.0
139,2018-03-22 00:00:00,20.14,18.21,17.66,20.14,201272.83306551736,3842060.836509795,17647.0
140,2018-03-21 00:00:00,21.23,20.14,19.57,21.85,240645.0076730381,4970116.348561233,22745.0
141,2018-03-20 00:00:00,16.34,21.21,15.4,21.8,623198.9031910617,12262049.010554023,36377.0
142,2018-03-19 00:00:00,11.15,16.31,11.0,16.34,295954.81529678166,4155688.2399897794,23845.0
143,2018-03-18 00:00:00,13.9,11.15,11.08,13.93,157796.67295069262,1971143.4263948451,17785.0
144,2018-03-17 00:00:00,15.53,13.78,13.73,15.57,110698.00937456822,1606380.7507670869,14726.0
145,2018-03-16 00:00:00,15.19,15.53,14.56,15.85,87473.34875041699,1331042.386300754,14887.0
146,2018-03-15 00:00:00,17.17,15.21,14.18,17.19,180709.62387152054,2778519.906438711,19506.0
147,2018-03-14 00:00:00,17.79,17.16,17.0,18.46,47181.57281993389,834462.0605320204,11831.0
148,2018-03-13 00:00:00,18.0,17.85,17.56,18.68,44992.36068369891,814834.8007515196,9770.0
149,2018-03-12 00:00:00,18.48,18.0,17.84,19.48,39884.62597261502,754914.6235892518,6185.0
150,2018-03-11 00:00:00,19.14,18.45,17.19,19.22,63980.599011287304,1159006.3132604398,8584.0
151,2018-03-10 00:00:00,18.56,19.14,17.82,19.8,65710.67646203087,1250379.6384185213,8452.0
152,2018-03-09 00:00:00,21.03,18.51,16.92,21.03,106208.42791119863,1966904.6051562806,11013.0
153,2018-03-08 00:00:00,23.26,21.02,20.16,23.28,182022.6001261475,3832491.657652991,12290.0
154,2018-03-07 00:00:00,25.09,23.25,22.9,25.3,58718.93651046117,1400609.5434806752,8130.0
155,2018-03-06 00:00:00,26.76,25.08,24.53,26.93,61565.7317661187,1574544.7948692623,8596.0
156,2018-03-05 00:00:00,25.27,26.81,25.26,27.59,55085.258708561574,1462980.1502921467,7941.0
157,2018-03-04 00:00:00,25.85,25.27,24.8,25.88,22945.856194866123,579486.4342473142,6833.0
158,2018-03-03 00:00:00,25.23,25.86,25.22,26.3,27464.93598337687,708931.3460286197,6677.0
159,2018-03-02 00:00:00,26.11,25.23,25.1,26.77,39066.68852321853,1010186.5077338687,7071.0
160,2018-03-01 00:00:00,26.2,26.11,25.4,26.94,46263.0258297293,1197722.862993869,7287.0
161,2018-02-28 00:00:00,27.29,26.19,25.76,28.0,74696.41399562564,2025319.04993765,8219.0
162,2018-02-27 00:00:00,28.12,27.29,26.63,28.62,86687.6582395625,2404965.562862075,9275.0
163,2018-02-26 00:00:00,24.57,28.04,24.13,29.2,98650.82681392702,2643581.036378913,8280.0
164,2018-02-25 00:00:00,25.1,24.57,24.1,25.48,46089.66103231653,1143833.39792831,7170.0
